"","Genus_Species","X","eye_av","cor_av","svl_av","rootmass_av","n","Order","Suborder","Family","Genus","Species","Gill_Presence","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat","pglsres.cdmass"
"119","Paramesotriton_deloustali",120,6.1,4.135,103,3.03114467665555,2,"Caudata","Salamandroidea","Salamandridae","Paramesotriton","deloustali","no",NA,"aquatic","metamorphosizing","free-living","both",0.146936062606536
"120","Paramesotriton_hongkongensis",121,5.11333333333333,3.61,74,2.01142882763125,3,"Caudata","Salamandroidea","Salamandridae","Paramesotriton","hongkongensis","no","nocturnal","terrestrial","metamorphosizing","free-living","both",0.204571893606079
"121","Plethodon_albagula",122,3.39,2.45,60,1.43500611480635,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","albagula","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.132243763451241
"122","Plethodon_cinereus",123,2.10166666666667,1.49833333333333,42.3333333333333,0.949619625075879,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","cinereus","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.0360772669330894
"123","Plethodon_dunni",124,3.105,2.26166666666667,63.3333333333333,1.52628287625961,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","dunni","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.0799724570220485
"124","Plethodon_elongatus",125,2.75833333333333,1.83,61,1.36913231153065,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","elongatus","no",NA,"terrestrial","direct development","no free-living","no larva",0.0188901914347533
"125","Plethodon_glutinosus",126,3.98,3.05,74,1.89718692529995,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","glutinosus","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.147990450323957
"126","Plethodon_idahoensis",127,3.17166666666667,2.39666666666667,51,1.14091441046828,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","idahoensis","no","nocturnal","semiaquatic","direct development","no free-living","no larva",0.187894312553758
"127","Plethodon_jordani",128,3.52166666666667,2.61166666666667,56.3333333333333,1.45401989705096,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","jordani","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.156252743962155
"128","Plethodon_vehiculum",129,2.605,1.95333333333333,50,1.19146811708399,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","vehiculum","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.0867353752859627
"129","Pleurodeles_poireti",130,2.845,1.985,49,1.39590640938178,1,"Caudata","Salamandroidea","Salamandridae","Pleurodeles","poireti","no",NA,"semiaquatic","metamorphosizing","free-living","lentic water",0.0486929725474533
"130","Pleurodeles_waltl",131,4.15,2.66625,78.5,2.21191076229758,4,"Caudata","Salamandroidea","Salamandridae","Pleurodeles","waltl","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.0459505412536566
"131","Pseudobranchus_striatus",134,NA,0.965,95,1.49063339752767,3,"Caudata","Sirenidea","Sirenidae","Pseudobranchus","striatus","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water",-0.28320882117743
"132","Pseudotriton_montanus",135,2.865,2.145,57,1.38730010917983,1,"Caudata","Salamandroidea","Plethodontidae","Pseudotriton","montanus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0841182157459196
"133","Pseudotriton_ruber",136,3.24166666666667,2.17,66.3333333333333,1.61103971448678,3,"Caudata","Salamandroidea","Plethodontidae","Pseudotriton","ruber","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0466368882911425
"134","Ranodon_sibiricus",137,4.97666666666667,4.14,88,2.19045788958219,3,"Caudata","Cryptobranchoidea","Hynobiidae","Ranodon","sibiricus","no","nocturnal","aquatic","metamorphosizing","free-living","lotic water",0.239821176388069
"135","Rhyacotriton_cascadae",138,3.30166666666667,2.35666666666667,48.6666666666667,1.14585876890656,3,"Caudata","Salamandroidea","Rhyacotritonidae","Rhyacotriton","cascadae","no",NA,"semiaquatic","metamorphosizing","free-living","lotic water",0.179355283582981
"136","Rhyacotriton_olympicus",139,3.84166666666667,2.795,61.6666666666667,1.57541021870105,3,"Caudata","Salamandroidea","Rhyacotritonidae","Rhyacotriton","olympicus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.162917840091395
"137","Rhyacotriton_variegatus",140,3.53333333333333,2.64166666666667,52.3333333333333,1.36521494885104,3,"Caudata","Salamandroidea","Rhyacotritonidae","Rhyacotriton","variegatus","no",NA,"semiaquatic","metamorphosizing","free-living","lotic water",0.179131821993915
"138","Salamandra_atra",141,4.4075,3.1525,69.5,1.73826459758008,2,"Caudata","Salamandroidea","Salamandridae","Salamandra","atra","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.187220697217938
"139","Salamandra_salamandra",142,5.765,3.63,90,2.53497508232688,1,"Caudata","Salamandroidea","Salamandridae","Salamandra","salamandra","no","both","terrestrial","metamorphosizing","free-living","lentic water",0.141193813939357
"140","Salamandrella_keyserlingii",143,3.56,2.30833333333333,63.3333333333333,1.61029963762106,3,"Caudata","Cryptobranchoidea","Hynobiidae","Salamandrella","keyserlingii","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.0736063245855388
"141","Salamandrina_terdigitata",144,2.64833333333333,1.77166666666667,34.3333333333333,0.910809701011475,3,"Caudata","Salamandroidea","Salamandridae","Salamandrina","terdigitata","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",0.12071541313895
"142","Siren_intermedia",145,NA,2.23,314,5.94785882480431,3,"Caudata","Sirenidea","Sirenidae","Siren","intermedia","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water",-0.312901882710871
"143","Siren_lacertina",146,NA,3.02,331.666666666667,7.05366842549128,3,"Caudata","Sirenidea","Sirenidae","Siren","lacertina","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water",-0.229683529943329
"144","Stereochilus_marginatus",147,1.835,1.375,49.5,1.41870826196276,2,"Caudata","Salamandroidea","Plethodontidae","Stereochilus","marginatus","no",NA,"aquatic","metamorphosizing","free-living","lentic water",-0.115371861366372
"145","Taricha_granulosa",148,4.97333333333333,3.51,90.3333333333333,2.78479538718254,3,"Caudata","Salamandroidea","Salamandridae","Taricha","granulosa","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.0998695401228056
"146","Taricha_rivularis",149,5.46833333333333,3.92166666666667,68.3333333333333,2.46598820474599,3,"Caudata","Salamandroidea","Salamandridae","Taricha","rivularis","no","both","semiaquatic","metamorphosizing","free-living","lotic water",0.182602990827817
"147","Taricha_torosa",150,4.95333333333333,3.61833333333333,75.3333333333333,2.40372216470543,3,"Caudata","Salamandroidea","Salamandridae","Taricha","torosa","no","diurnal","semiaquatic","metamorphosizing","free-living","lentic water",0.15491250896904
"148","Thorius_boreas",151,1.535,1.075,31,0.788373516310524,1,"Caudata","Salamandroidea","Plethodontidae","Thorius","boreas","no",NA,"subfossorial","direct development","no free-living","no larva",-0.0552110439117825
"149","Thorius_pennatulus",152,1.40666666666667,0.981666666666667,19,0.600584780878617,3,"Caudata","Salamandroidea","Plethodontidae","Thorius","pennatulus","no",NA,"subfossorial","direct development","no free-living","no larva",-0.0172971065341425
"150","Triturus_carnifex",153,3.75333333333333,2.73,61.6666666666667,1.51518827356168,3,"Caudata","Salamandroidea","Salamandridae","Triturus","carnifex","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.163780892353838
"151","Triturus_cristatus",154,4.49,3.33666666666667,68,2.01160589833375,3,"Caudata","Salamandroidea","Salamandridae","Triturus","cristatus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.170352484945226
"152","Triturus_karelinii",155,4.92,3.76,73.6666666666667,1.96006664324442,3,"Caudata","Salamandroidea","Salamandridae","Triturus","karelinii","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.229607374960017
"153","Tylototriton_shanjing",156,4.885,3.17333333333333,74.6666666666667,2.33977311820402,3,"Caudata","Salamandroidea","Salamandridae","Tylototriton","shanjing","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.105586558108961
"154","Tylototriton_taliangensis",157,4.23833333333333,2.765,72.6666666666667,2.15653647070153,3,"Caudata","Salamandroidea","Salamandridae","Tylototriton","taliangensis","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.0689536230009171
"155","Tylototriton_verrucosus",158,4.74166666666667,3.26166666666667,76.3333333333333,2.45207094171562,3,"Caudata","Salamandroidea","Salamandridae","Tylototriton","verrucosus","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.104181129052566
